Name	last	absences	last.vote	first.vote	votings.absences	votings.n
Wilk Wojciech	PO	361	X37364	X29021	232	8273
Wita Tadeusz	PiS	3129	X37493	X31850	343	5616
Witaszczyk Stanisław	PSL	335	X37493	X29021	335	8402
Witek Elżbieta	PiS	387	X37493	X29021	387	8402
Witkowski Radosław	PO	145	X37492	X29021	144	8401
Wiązowski Waldemar	PiS	913	X37364	X29021	784	8273
Wiśniewska Jadwiga	PiS	492	X37493	X29021	492	8402
Woda Wiesław	PSL	3777	X33802	X29021	107	4732
Wojciechowski Jarosław	PO	6531	X37490	X35486	129	2000
Wojciechowski Zbigniew	PJN	6679	X37493	X35524	242	1965
Wojnarowski Norbert	PO	1069	X37493	X29021	1069	8402
Wojtas Edward	PSL	4011	X33876	X29021	415	4806
Wojtkiewicz Michał	PiS	609	X37493	X29021	609	8402
Wojtkowski Marek	PO	199	X37493	X29021	199	8402
Wolak Ewa	PO	414	X37493	X29021	414	8402
Wontor Bogusław	SLD	693	X37364	X29021	564	8273
Worach Sławomir	PiS	4376	X37493	X33300	144	4170
Woźniak Tadeusz	PiS	352	X37493	X29021	352	8402
Wrona Waldemar	PiS	1693	X37493	X29021	1693	8402
Wróbel Marzena Dorota	PiS	142	X37493	X29021	142	8402
Wykręt Adam	PO	18	X37493	X29021	18	8402
Wziątek Stanisław	SLD	715	X37364	X29021	586	8273
Wójcik Marek	PO	182	X37493	X29021	182	8402
Węgrzyn Robert	niez.	218	X37492	X29021	217	8401
Zacharewicz Jacek	PO	1001	X37493	X29021	1001	8402
Zając Stanisław	PiS	7894	X29559	X29021	3	511
Zakrzewska Elżbieta	SLD	5736	X37359	X34061	612	3278
Zakrzewska Jadwiga	PO	1453	X37493	X29021	1453	8402
Zalewska Anna	PiS	869	X37492	X29021	868	8401
Zalewski Paweł	niez.	5997	X32334	X29021	866	3271
Zaremba Renata	PO	52	X37493	X29021	52	8402
Zarzycki Wojciech Szczęsny	PiS	3469	X37493	X32372	161	5094
Zawadzki Ryszard	PO	39	X37493	X29021	39	8402
Zawiła Marcin	PO	2961	X34707	X29021	187	5628
Zawiślak Sławomir	PiS	603	X37364	X29021	474	8273
Zbonikowski Łukasz	PiS	1103	X37493	X29021	1103	8402
Zbrzyzny Ryszard	SLD	2810	X37272	X29021	2589	8181
Zdanowska Hanna	PO	2875	X34924	X29021	316	5843
Zdrojewski Bogdan	PO	2867	X37364	X29021	2738	8273
Zemke Janusz	Lewica	5559	X32280	X29021	374	3217
Zielińska-Głębocka Anna	PO	4010	X33544	X29021	84	4476
Zieliński Jarosław	PiS	398	X37364	X29021	269	8273
Zieliński Marek	PO	73	X37493	X29021	73	8402
Ziemniak Wojciech	PO	136	X37493	X29021	136	8402
Ziobro Zbigniew	PiS	6307	X32168	X29021	1010	3105
Ziętek Jerzy	PO	141	X37493	X29021	141	8402
Zuba Maria	PiS	282	X37493	X29021	282	8402
Zych Józef	PSL	3754	X37493	X29021	3754	8402
Ćwierz Andrzej	PiS	732	X37493	X29021	732	8402
Łatas Marek	PiS	1849	X37493	X29021	1849	8402
Łopata Jan	PSL	503	X37493	X29021	503	8402
Łoś Andrzej	PO	8402	NA	NA	NA	NA
Łuczak Mieczysław Marcin	PSL	675	X37364	X29021	546	8273
Łukacijewska Elżbieta	PO	5332	X32334	X29021	201	3271
Łybacka Krystyna	SLD	1012	X37493	X29021	1012	8402
Śledzińska-Katarasińska Iwona	PO	493	X37493	X29021	493	8402
Śliwińska Anna	PO	5290	X37493	X34084	277	3389
Śnieżek Adam	PiS	682	X37493	X29710	25	7745
Żaczek Jarosław	PiS	365	X37493	X29021	365	8402
Żalek Jacek	PO	796	X37364	X29021	667	8273
Żelichowski Stanisław	PSL	398	X37493	X29021	398	8402
Żmijan Stanisław	PO	468	X37493	X29021	468	8402
Żukowski Wojciech	PiS	2788	X34997	X29021	301	5915
Żyliński Adam	PO	89	X37493	X29021	89	8402
