Name	last	absences	last.vote	first.vote	votings.absences	votings.n
Gosiewski Przemysław	PiS	4249	X33876	X29021	653	4806
Gowin Jarosław	PO	825	X37364	X29021	696	8273
Gołojuch Kazimierz	PiS	878	X37493	X29021	878	8402
Gołębiewski Henryk	SLD	339	X37441	X29021	287	8350
Grabarczyk Cezary	PO	868	X37493	X29021	868	8402
Grabicka Krystyna	PiS	681	X37493	X29021	681	8402
Grad Aleksander	PO	4939	X37272	X29021	4718	8181
Grad Mariusz	PO	194	X37493	X29021	194	8402
Graś Paweł	PO	3575	X36900	X29021	2982	7809
Grupiński Rafał	PO	1016	X37493	X29021	1016	8402
Grzegorek Krzysztof	niez.	4406	X35105	X29021	2027	6023
Grzeszczak Eugeniusz	PSL	2062	X37492	X29021	2061	8401
Grzyb Andrzej	PSL	5752	X32334	X29021	621	3271
Gut-Mostowy Andrzej	PO	335	X37493	X29021	335	8402
Guzowska Iwona	PO	645	X37493	X29021	645	8402
Gwiazdowski Kazimierz	PiS	380	X37493	X29021	380	8402
Górski Artur	PiS	271	X37493	X29021	271	8402
Górski Tomasz	PiS	1407	X37492	X29021	1406	8401
Gąsior-Marek Magdalena	PO	1560	X37493	X29021	1560	8402
Gęsicka Grażyna	PiS	4204	X33876	X29021	608	4806
Głogowski Tomasz	PO	515	X37493	X29021	515	8402
Hajda Kazimierz	PJN	3657	X37493	X32372	349	5094
Halicki Andrzej	PO	310	X37493	X29021	310	8402
Hanajczyk Agnieszka	PO	221	X37493	X29021	221	8402
Hibner Jolanta	PO	5228	X32334	X29021	97	3271
Hoc Czesław	PiS	885	X37364	X29021	756	8273
Hofman Adam	PiS	1702	X37490	X29021	1699	8399
Huskowski Stanisław	PO	552	X37356	X29021	415	8265
Iwiński Tadeusz	SLD	2710	X37493	X29021	2710	8402
Jackiewicz Dawid	PiS	1646	X37490	X29021	1643	8399
Jagiełło Jarosław	PiS	602	X37364	X29021	473	8273
Jakubiak Elżbieta	PJN	2236	X37172	X29021	1915	8081
